date,mv_gross_nav_no_trading_cost,mv_net_nav_no_trading_cost,mv_no_trading_cost,mv_constraints_gross_no_trading_cost,mv_constraints_net_no_trading_cost,mv__no_trading_cost,mi_constraints_gross_no_trading_cost,mi_constraints_net_no_trading_cost,mi_no_trading_cost,ew_gross_nav_no_trading_cost,ew_net_nav_no_trading_cost,ew_no_trading_cost,capm_constraints_gross_no_trading_cost,capm_constraints_net_no_trading_cost,capm_no_trading_cost,mv_gross_nav,mv_net_nav,mv,mv_constraints_gross,mv_constraints_net,mv_,mi_constraints_gross,mi_constraints_net,mi,ew_gross_nav,ew_net_nav,ew,capm_constraints_gross,capm_constraints_net,capm
6/9/2017,29590872,29331861,107776412.5,24232147,24058105,106543030.2,21095913,20901017,105655641.9,12666189,12369909,109067073.5,87298900,86940341,104396902.2,29603340,1173777,79652065.52,24197913,16156285,99812355.63,27088583,18044474,98854021,12512795,-31714216,63804505.83,11061149,-9072056,88633991.59
6/10/2017,29590872,29331861,107776412.5,24232147,24058105,106543030.2,21095913,20901017,105655641.9,12666189,12369909,109067073.5,87298900,86940341,104396902.2,29603340,1173777,79652065.52,24197913,16156285,99812355.63,27088583,18044474,98854021,12512795,-31714216,63804505.83,11061149,-9072056,88633991.59
6/11/2017,29590872,29331861,107776412.5,24232147,24058105,106543030.2,21095913,20901017,105655641.9,12666189,12369909,109067073.5,87298900,86940341,104396902.2,29603340,1173777,79652065.52,24197913,16156285,99812355.63,27088583,18044474,98854021,12512795,-31714216,63804505.83,11061149,-9072056,88633991.59
6/12/2017,29727656,29468645,107918150.6,24110981,23936940,106538569.3,21024090,20829194,105584942.1,12648498,12352219,109060932.7,87287940,86929381,104615813.6,29740184,1310621,79793873.35,24120952,16079323,99772080.7,27062687,18018578,98812752.63,12495296,-31731715,63798420.08,11115106,-9018099,88580980.81
6/13/2017,29951042,29692032,108611124.3,24352327,24178285,107175606,21197208,21002312,106033072.9,12723059,12426780,109684519.5,87813349,87454790,105399580.4,29963674,1534111,80487140.07,24425932,16384303,100415118.3,27298743,18254634,99533863.95,12568961,-31658051,64414425.94,11092162,-9041044,89048690.89
6/14/2017,30100014,29841003,108029940.6,24568058,24394016,106665957.3,21356762,21161866,105559995.9,12948916,12652636,109008686,87724686,87366127,104797861.6,30112707,1683144,79905713.05,24574506,16532877,99983790.53,27546354,18502246,99028772.22,12792063,-31434948,63746816.8,11054075,-9079131,88509498.66
6/15/2017,30574131,30315120,107643506.7,24928202,24754161,106342957.7,21673614,21478719,105274201.6,13533463,13237183,108425642.4,87572939,87214380,104403878.5,30587033,2157470,79519108.33,24886170,16844541,99684648.03,27870102,18825993,98726693.71,13369475,-30857536,63170869.45,10986285,-9146921,88181000.19
6/16/2017,30760132,30501122,107544104.7,25087827,24913785,106199064.2,21834812,21639916,105035035.9,13691039,13394759,108416241.2,87644804,87286245,104493613,30773108,2343544,79419671.58,25094863,17053234,99531943.1,28131091,19086982,98626660.53,13525145,-30701866,63161610.16,10839341,-9293865,87907285.63
6/17/2017,30760132,30501122,107544104.7,25087827,24913785,106199064.2,21834812,21639916,105035035.9,13691039,13394759,108416241.2,87644804,87286245,104493613,30773108,2343544,79419671.58,25094863,17053234,99531943.1,28131091,19086982,98626660.53,13525145,-30701866,63161610.16,10839341,-9293865,87907285.63
6/18/2017,30760132,30501122,107544104.7,25087827,24913785,106199064.2,21834812,21639916,105035035.9,13691039,13394759,108416241.2,87644804,87286245,104493613,30773108,2343544,79419671.58,25094863,17053234,99531943.1,28131091,19086982,98626660.53,13525145,-30701866,63161610.16,10839341,-9293865,87907285.63
