date,mv_gross_nav_no_trading_cost,mv_net_nav_no_trading_cost,mv_no_trading_cost,mv_constraints_gross_no_trading_cost,mv_constraints_net_no_trading_cost,mv__no_trading_cost,mi_constraints_gross_no_trading_cost,mi_constraints_net_no_trading_cost,mi_no_trading_cost,ew_gross_nav_no_trading_cost,ew_net_nav_no_trading_cost,ew_no_trading_cost,capm_constraints_gross_no_trading_cost,capm_constraints_net_no_trading_cost,capm_no_trading_cost,mv_gross_nav,mv_net_nav,mv,mv_constraints_gross,mv_constraints_net,mv_,mi_constraints_gross,mi_constraints_net,mi,ew_gross_nav,ew_net_nav,ew,capm_constraints_gross,capm_constraints_net,capm
6/29/2017,32282343,32023333,109312076.5,25464095,25290053,105860358.1,22561964,22367068,105404059.7,15412822,15116542,110188842.5,86592984,86234425,104541311.7,32296004,3866441,81188443.39,25453697,17412068,99126908.29,29073507,20029398,98727134,15225916,-29001095,64912597.48,11109284,-9023922,88134995.1
6/30/2017,22456061.32,22173031.45,108894008.1,25085187.87,24867524.15,105877277.6,18960179.74,18735025.79,105201947.3,219348.13,-79718.70575,109697973.1,98478414.96,98273697.22,104251842.7,16675032.95,-13889917.9,50522625.39,22127790.88,13785967.77,91000694.32,21664455.58,12606575.82,89756993.03,127440.873,-50773724.78,13898834.9,15259219.06,-10817367.22,62086524.55
7/1/2017,22456061.32,22173031.45,108894008.1,25085187.87,24867524.15,105877277.6,18960179.74,18735025.79,105201947.3,219348.13,-79718.70575,109697973.1,98478414.96,98273697.22,104251842.7,16675032.95,-13889917.9,50522625.39,22127790.88,13785967.77,91000694.32,21664455.58,12606575.82,89756993.03,127440.873,-50773724.78,13898834.9,15259219.06,-10817367.22,62086524.55
7/2/2017,22456061.32,22173031.45,108894008.1,25085187.87,24867524.15,105877277.6,18960179.74,18735025.79,105201947.3,219348.13,-79718.70575,109697973.1,98478414.96,98273697.22,104251842.7,16675032.95,-13889917.9,50522625.39,22127790.88,13785967.77,91000694.32,21664455.58,12606575.82,89756993.03,127440.873,-50773724.78,13898834.9,15259219.06,-10817367.22,62086524.55
7/3/2017,22611045,22328015,109875451.2,25223778,25006114,106493256.1,19035248,18810094,106055507,405235,106168,110710692.2,98935791,98731074,104680335.2,16790145,-13774806,51251565.35,22257146,13915323,91590710.01,21792560,12734680,90423230.87,236945,-50664220,14495426.57,15600151,-10476435,62688729.42
7/4/2017,22611045,22328015,109875451.2,25223778,25006114,106493256.1,19035248,18810094,106055507,405235,106168,110710692.2,98935791,98731074,104680335.2,16790145,-13774806,51251565.35,22257146,13915323,91590710.01,21792560,12734680,90423230.87,236945,-50664220,14495426.57,15600151,-10476435,62688729.42
7/5/2017,22546780,22263751,109205694.5,25197395,24979732,106037394.8,19068394,18843240,105431042.3,506793,207726,110044755.7,98104940,97900223,103959194.2,16742431,-13822520,50754116.45,22239193,13897370,91142392.43,21673719,12615839,89867925.31,296784,-50604382,14103111.73,15480310,-10596277,62250512.61
7/6/2017,22334420,22051390,107643612.7,24947819,24730155,104530175.9,18897734,18672581,103991759.9,201437,-97630,108068622.8,97209272,97004555,102890485.7,16584762,-13980189,49593944.27,22054072,13712249,89704475.75,21413020,12355140,88371400.36,116924,-50784241,12938962.24,15206287,-10870299,61211233.83
7/7/2017,22508422,22225393,108615342,25170053,24952390,105404015.1,19071378,18846224,104909804.8,324823,25756,109110396.2,97779746,97575028,103565651.2,16713965,-13850986,50315671.78,22250443,13908620,90497706.54,21641813,12583933,89163949.36,189595,-50711571,13552681.21,15531566,-10545021,61919273.82
7/8/2017,22508422,22225393,108615342,25170053,24952390,105404015.1,19071378,18846224,104909804.8,324823,25756,109110396.2,97779746,97575028,103565651.2,16713965,-13850986,50315671.78,22250443,13908620,90497706.54,21641813,12583933,89163949.36,189595,-50711571,13552681.21,15531566,-10545021,61919273.82
7/9/2017,22508422,22225393,108615342,25170053,24952390,105404015.1,19071378,18846224,104909804.8,324823,25756,109110396.2,97779746,97575028,103565651.2,16713965,-13850986,50315671.78,22250443,13908620,90497706.54,21641813,12583933,89163949.36,189595,-50711571,13552681.21,15531566,-10545021,61919273.82
7/10/2017,22472918,22189889,108270223.8,25119428,24901764,105273251.2,19062966,18837812,104578135.2,483059,183992,108816742,97578178,97373460,103316233.3,16687606,-13877345,50059344.3,22216085,13874262,90369209.21,21632424,12574544,89099526.56,282815,-50618351,13379690.35,15393808,-10682778,61683368.04
7/11/2017,23140436,22857406,108943475.7,25025361,24807698,105473036.7,19179060,18953906,104797828.2,1166332,867265,109415423.1,97685441,97480723,103452394.9,17183373,-13381578,50559375.04,22150664,13808841,90577660.46,21604333,12546453,89343407.47,685338,-50215828,13732367.53,15373551,-10703036,61766644.46
7/12/2017,23302141,23019111,109680026.6,25207122,24989458,106227562.5,19297111,19071957,105525269.3,1188145,889078,110282254.9,98110841,97906123,104121698.1,17303441,-13261510,51106427.35,22306970,13965147,91266216.71,21801615,12743736,90026580.43,698169,-50202997,14243021.43,15425450,-10651136,62361864.66
7/13/2017,23307205,23024175,109862275.5,25211163,24993499,106425320.4,19278623,19053469,105675148,1318840,1019773,110634653.7,98125808,97921090,104046200.2,17307197,-13257754,51241785.91,22301916,13960093,91463222.87,21795189,12737309,90250005.27,775153,-50126013,14450623.99,15415073,-10661513,62451343.57
7/14/2017,23454350,23171320,110153674.5,25430691,25213027,106944025.7,19448802,19223648,105969926.8,1291057,991990,110990860,98540930,98336213,104663764.6,17416476,-13148474,51458212.54,22494368,14152544,91956089.3,22006197,12948317,90765389.31,758781,-50142385,14660464.61,15372827,-10703759,62717822.59
7/15/2017,23454350,23171320,110153674.5,25430691,25213027,106944025.7,19448802,19223648,105969926.8,1291057,991990,110990860,98540930,98336213,104663764.6,17416476,-13148474,51458212.54,22494368,14152544,91956089.3,22006197,12948317,90765389.31,758781,-50142385,14660464.61,15372827,-10703759,62717822.59
7/16/2017,23454350,23171320,110153674.5,25430691,25213027,106944025.7,19448802,19223648,105969926.8,1291057,991990,110990860,98540930,98336213,104663764.6,17416476,-13148474,51458212.54,22494368,14152544,91956089.3,22006197,12948317,90765389.31,758781,-50142385,14660464.61,15372827,-10703759,62717822.59
7/17/2017,23416695,23133665,110205613.5,25490286,25272622,107043740.8,19407453,19182299,106031374.2,1263703,964636,111060560.1,98679438,98474721,104732051,17388507,-13176444,51496777.99,22521757,14179934,92054908.81,22069088,13011208,90859588.41,742670,-50158495,14701524.04,15426491,-10650095,62792882.64
7/18/2017,23149537,22866507,109849056.2,25413544,25195880,106839815,19310376,19085223,105769808.2,1074929,775862,110840398.1,98455201,98250483,104629493.1,17190074,-13374877,51231953.8,22469136,14127313,91870525.2,21979905,12922026,90680941.6,631459,-50269707,14571829.04,15375379,-10701208,62601230
7/19/2017,23097932,22814902,110836362.2,25450327,25232663,107951691.4,19307771,19082618,106744274.6,1190424,891357,111883190.2,99541656,99336938,105776212.3,17151724,-13413227,51965250.19,22555989,14214166,92944317.46,22003095,12945215,91818331.79,699482,-50201684,15186142.43,15529738,-10546848,63361376.52
7/20/2017,23168591,22885561,110821503.6,25472035,25254372,107844236.4,19377295,19152141,106742429.6,894886,595819,112102063.4,100473196,100268479,106694412.5,17204190,-13360761,51954187.83,22660994,14319171,92881069.5,22093775,13035896,91718037.38,525370,-50375796,15315098.24,15432790,-10643796,63397598.77
7/21/2017,23117650,22834620,110435289.4,25484083,25266420,107494174.1,19347606,19122452,106341904.2,859804,560738,111458175,100341229,100136511,106567353.9,17166408,-13398543,51667397.45,22645577,14303754,92545295.3,22090284,13032404,91330387.2,504717,-50396449,14935779.49,15333314,-10743272,63071172.92
7/22/2017,23117650,22834620,110435289.4,25484083,25266420,107494174.1,19347606,19122452,106341904.2,859804,560738,111458175,100341229,100136511,106567353.9,17166408,-13398543,51667397.45,22645577,14303754,92545295.3,22090284,13032404,91330387.2,504717,-50396449,14935779.49,15333314,-10743272,63071172.92
7/23/2017,23117650,22834620,110435289.4,25484083,25266420,107494174.1,19347606,19122452,106341904.2,859804,560738,111458175,100341229,100136511,106567353.9,17166408,-13398543,51667397.45,22645577,14303754,92545295.3,22090284,13032404,91330387.2,504717,-50396449,14935779.49,15333314,-10743272,63071172.92
7/24/2017,23325920,23042891,110582540.1,25614698,25397034,107564392.3,19504728,19279574,106324453.3,1245864,946798,111696982.9,100207366,100002648,106469511.1,17321087,-13243864,51776775.05,22737476,14395653,92610734.79,22259765,13201885,91404918.84,732139,-50169027,15076458.6,15271231,-10805355,63045822.54
7/25/2017,23609453,23326423,111534091.7,25974707,25757044,108373817.6,19706297,19481143,107278287.3,1625843,1326776,112671979.1,101005093,100800375,106810712.4,17531675,-13033275,52483521.66,23074096,14732273,93339914.3,22512104,13454224,92284246.44,955976,-49945189,15650822.97,15602135,-10474451,63692492.44
7/26/2017,23768079,23485049,110898727.3,26082644,25864981,107661787.8,19780429,19555275,106562515.3,1786475,1487408,112302150,100967647,100762929,106668080.5,17649517,-12915434,52011639.43,23187197,14845374,92633758.79,22704666,13646787,91602019.46,1050616,-49850549,15432956.8,15303141,-10773445,63209349.49
7/27/2017,23570521,23287491,110450262.4,25979392,25761728,107317706.9,19699882,19474728,106200318,1589941,1290875,111853131.4,100954410,100749692,106583850.2,17502794,-13062156,51678549.14,23089885,14748062,92327687.85,22629399,13571520,91294341.29,934848,-49966318,15168431.87,15241595,-10834991,62883683.81
7/28/2017,23749840,23466810,110149244.4,26076403,25858739,106946338.8,19864150,19638996,105896009.4,2014907,1715841,111361481.2,100728693,100523976,106383026.2,17635995,-12928956,51454977.81,23214050,14872227,91995193.14,22722087,13664207,91012592.3,1185220,-49715946,14878781.27,15235349,-10841237,62640297.73
7/29/2017,23749840,23466810,110149244.4,26076403,25858739,106946338.8,19864150,19638996,105896009.4,2014907,1715841,111361481.2,100728693,100523976,106383026.2,17635995,-12928956,51454977.81,23214050,14872227,91995193.14,22722087,13664207,91012592.3,1185220,-49715946,14878781.27,15235349,-10841237,62640297.73
7/30/2017,23749840,23466810,110149244.4,26076403,25858739,106946338.8,19864150,19638996,105896009.4,2014907,1715841,111361481.2,100728693,100523976,106383026.2,17635995,-12928956,51454977.81,23214050,14872227,91995193.14,22722087,13664207,91012592.3,1185220,-49715946,14878781.27,15235349,-10841237,62640297.73
7/31/2017,23922147,23639117,109852428.3,26267223,26049560,106763245.4,20052483,19827329,105740201.1,2139883,1840817,110868641.2,100857456,100652739,106518208.2,17763995,-12800956,51234548.77,23374160,15032337,91842391.22,22939081,13881201,90869794.22,1258859,-49642306,14588431.02,15338785,-10737802,62536606.4
8/1/2017,23888546,23605516,110055938.9,26302321,26084657,106882802.1,20046093,19820939,105937247.9,1860014,1560947,111081937.8,100965229,100760511,106649577.5,17739037,-12825914,51385694.8,23395596,15053773,91925057.73,22969256,13911376,90990504.93,1093995,-49807171,14714074.59,15475594,-10600992,62689971.72
8/2/2017,24136021,23852991,109182268.4,26517426,26299763,106310638.4,20269286,20044132,105150232.1,2269891,1970824,110013761,100407381,100202663,106087005.2,17922860,-12642091,50736793.12,23619710,15277887,91361472.26,23165156,14107276,90380647.55,1335456,-49565709,14084803.88,15282276,-10794310,62075930
8/3/2017,23911846,23628816,108536978.7,26343960,26126296,105761584,20207675,19982521,104656832.4,2392728,2093661,108901467.8,99627036,99422318,105291077.7,17756391,-12808559,50257531.17,23434199,15092376,90829887.01,22956158,13898279,89881579.39,1407837,-49493329,13429542.59,15222416,-10854170,61727521.89
8/4/2017,24229944,23946914,109076227.5,26647222,26429558,106178588.7,20479611,20254457,105154325.3,3004497,2705430,109408804.5,99909117,99704399,105518974,17992621,-12572330,50658026.19,23710579,15368756,91232557.47,23277975,14220095,90294046.74,1768222,-49132944,13728406.91,15345776,-10730810,62067444.73
8/5/2017,24229944,23946914,109076227.5,26647222,26429558,106178588.7,20479611,20254457,105154325.3,3004497,2705430,109408804.5,99909117,99704399,105518974,17992621,-12572330,50658026.19,23710579,15368756,91232557.47,23277975,14220095,90294046.74,1768222,-49132944,13728406.91,15345776,-10730810,62067444.73
8/6/2017,24229944,23946914,109076227.5,26647222,26429558,106178588.7,20479611,20254457,105154325.3,3004497,2705430,109408804.5,99909117,99704399,105518974,17992621,-12572330,50658026.19,23710579,15368756,91232557.47,23277975,14220095,90294046.74,1768222,-49132944,13728406.91,15345776,-10730810,62067444.73
8/7/2017,24512256,24229226,108724231.2,26881784,26664120,106071291.3,20678394,20453240,104909696.7,3238851,2939784,108975040.5,99762310,99557593,105380135.7,18202305,-12362646,50396584.7,23891164,15549341,91117494.81,23512178,14454298,90079031.13,1906284,-48994882,13472875,15263140,-10813447,61930315.47
8/8/2017,24575248,24292218,108222335.5,26977021,26759357,105678411.6,20798389,20573235,104601870.8,3619287,3320220,108424389.2,99589144,99384427,105180213.5,18249097,-12315853,50023815.21,23981197,15639374,90778493.73,23688323,14630443,89773702.02,2130408,-48770758,13148481.62,15183404,-10893183,61676359.68
8/9/2017,24386110,24103080,107236147.3,27127195,26909532,105098114.8,20794773,20569619,103896179.3,3574925,3275858,107352611.2,99795668,99590950,105301171.9,18108655,-12456296,49291307.66,24108421,15766597,90225805.15,23833809,14775929,89211582.39,2104278,-48796887,12517097.12,14988638,-11087948,61146897.7
8/10/2017,24488466,24205436,105732993.9,26991512,26773848,103477714.7,20813755,20588601,102409154.1,3718137,3419071,105670072.8,98842526,98637808,104111586.3,18184731,-12380220,48174869.71,23975752,15633929,88700834.22,23716510,14658630,87683049.07,2188677,-48712488,11525901.53,14720053,-11356533,60020468.66
8/11/2017,24618451,24335421,106035257.2,27020188,26802524,103839994.8,20857093,20631939,102535743.4,3905115,3606049,106238793,98574083,98369365,103926666.2,18281274,-12283677,48399375.07,23957770,15615946,89010885.23,23731928,14674048,88003933.09,2298815,-48602350,11860938.47,14683194,-11393392,60101689.9
8/12/2017,24618451,24335421,106035257.2,27020188,26802524,103839994.8,20857093,20631939,102535743.4,3905115,3606049,106238793,98574083,98369365,103926666.2,18281274,-12283677,48399375.07,23957770,15615946,89010885.23,23731928,14674048,88003933.09,2298815,-48602350,11860938.47,14683194,-11393392,60101689.9
8/13/2017,24618451,24335421,106035257.2,27020188,26802524,103839994.8,20857093,20631939,102535743.4,3905115,3606049,106238793,98574083,98369365,103926666.2,18281274,-12283677,48399375.07,23957770,15615946,89010885.23,23731928,14674048,88003933.09,2298815,-48602350,11860938.47,14683194,-11393392,60101689.9
8/14/2017,24747849,24464819,107092543.2,27342412,27124748,104828943.1,21013912,20788758,103669114.7,3878938,3579871,107406651.1,99583695,99378978,104961355.1,18377348,-12187603,49184652.1,24275844,15934021,89923374.6,24028326,14970446,88939539.94,2283374,-48617791,12548936.28,15082946,-10993641,61024989.5
8/15/2017,24793090,24510061,106419366.8,27254968,27037304,104193839.9,20991198,20766044,102979462.1,3955004,3655937,106562692.1,99271043,99066325,104631340.4,18410971,-12153980,48684670.9,24176508,15834685,89340977.71,23977229,14919349,88308087.68,2328202,-48572964,12051761.22,14901827,-11174759,60515056.17
8/16/2017,24940601,24657571,106427560.8,27468110,27250446,104407375.1,21078747,20853593,102983643.8,4087984,3788917,106639470.4,99336073,99131355,104776194.3,18520536,-12044415,48690762.96,24339204,15997381,89536244.71,24144676,15086796,88399473.04,2406538,-48494628,12096987.94,14931979,-11144608,60546308.19
8/17/2017,24812964,24529935,104673648.9,27195841,26978177,102583314.8,21020407,20795253,101345136.6,3990559,3691492,104687781.9,97919279,97714561,103233299.9,18425795,-12139156,47388094.16,24036654,15694831,87820163.1,23905669,14847789,86673972.7,2349174,-48551991,10947241.18,14429567,-11647019,59271136.65
8/18/2017,24748435,24465405,104651564.2,27204158,26986495,102488752.1,21045953,20820799,101328302.1,4035232,3736165,104593085.1,98051257,97846539,103288527.9,18377848,-12187103,47371668.55,24035331,15693508,87768851.25,23942601,14884721,86628879.18,2375488,-48525677,10891454.57,14331860,-11744727,59207071.02
8/19/2017,24748435,24465405,104651564.2,27204158,26986495,102488752.1,21045953,20820799,101328302.1,4035232,3736165,104593085.1,98051257,97846539,103288527.9,18377848,-12187103,47371668.55,24035331,15693508,87768851.25,23942601,14884721,86628879.18,2375488,-48525677,10891454.57,14331860,-11744727,59207071.02
8/20/2017,24748435,24465405,104651564.2,27204158,26986495,102488752.1,21045953,20820799,101328302.1,4035232,3736165,104593085.1,98051257,97846539,103288527.9,18377848,-12187103,47371668.55,24035331,15693508,87768851.25,23942601,14884721,86628879.18,2375488,-48525677,10891454.57,14331860,-11744727,59207071.02
8/21/2017,24788026,24504996,104489672,27327916,27110253,102379400.1,21070406,20845252,101213606.6,3915714,3616647,104251522.3,98318355,98113637,103528506.3,18407253,-12157697,47251424.43,24128203,15786380,87671160.11,24039398,14981518,86493333.31,2305080,-48596085,10690244.08,14318428,-11758159,59147238.33
8/22/2017,25091364,24808334,105435408.3,27643642,27425979,103435801.4,21351756,21126602,102095176.5,4273353,3974286,105216486.4,99119801,98915083,104451229.3,18632502,-11932449,47953830.12,24429727,16087904,88656396.7,24252035,15194155,87424955.44,2515753,-48385413,11258714.54,14534824,-11541762,59864301.43
8/23/2017,25046961,24763931,105048898.8,27633606,27415942,103038120.3,21285182,21060028,101738167.8,4244197,3945131,104936428.1,99263368,99058650,104527319.9,18599543,-11965408,47666766.66,24461983,16120160,88293883.29,24238233,15180354,87125560.44,2498583,-48402583,11093729.76,14446148,-11630438,59577398.05
8/24/2017,25198762,24915732,105280738.2,27663489,27445825,102931338.1,21371434,21146280,101770777,4546604,4247537,105326220.6,99071794,98867077,104364699.8,18712288,-11852663,47838958.57,24495450,16153627,88197394.54,24323938,15266058,87095779.06,2676726,-48224440,11323362.46,14481813,-11594773,59568627.49
8/25/2017,25377456,25094427,105700064.8,27777506,27559843,103363708.1,21538916,21313762,102249854.5,4733422,4434356,105757725.3,99381546,99176828,104647925.2,18845009,-11719942,48150398.86,24600744,16258921,88579305.85,24391548,15333669,87516258.52,2786781,-48114384,11577562.16,14568032,-11508554,59987204.85
8/26/2017,25377456,25094427,105700064.8,27777506,27559843,103363708.1,21538916,21313762,102249854.5,4733422,4434356,105757725.3,99381546,99176828,104647925.2,18845009,-11719942,48150398.86,24600744,16258921,88579305.85,24391548,15333669,87516258.52,2786781,-48114384,11577562.16,14568032,-11508554,59987204.85
8/27/2017,25377456,25094427,105700064.8,27777506,27559843,103363708.1,21538916,21313762,102249854.5,4733422,4434356,105757725.3,99381546,99176828,104647925.2,18845009,-11719942,48150398.86,24600744,16258921,88579305.85,24391548,15333669,87516258.52,2786781,-48114384,11577562.16,14568032,-11508554,59987204.85
8/28/2017,25433043,25150014,105825541,27886551,27668887,103465344.7,21553785,21328631,102224412.1,4954057,4654990,105883500.8,99206714,99001997,104493854.7,18886280,-11678671,48243581.96,24706074,16364250,88682989.11,24513285,15455405,87677525.7,2916760,-47984406,11651654.61,14730324,-11346263,59904859.53
8/29/2017,25451085,25168055,105852864.1,27863733,27646070,103433873.1,21635812,21410658,102304193.3,5220892,4921826,106095742.2,99118892,98914174,104398810.9,18899667,-11665284,48263865.74,24707759,16365936,88657374.94,24455316,15397436,87720448.52,3073953,-47827212,11776683.45,14601275,-11475311,59997477.21
8/30/2017,25492347,25209317,106315329.4,27952457,27734793,103915608.5,21648638,21423484,102758805.9,5261779,4962712,106612828.9,99397857,99193139,105058063.6,18930284,-11634667,48607349.86,24783195,16441371,89118016.81,24531000,15473120,88133308.31,3098022,-47803144,12081299.1,14538707,-11537879,60452367.83
8/31/2017,25817827,25534797,107183834.9,28282763,28065099,104654524.4,21952587,21727434,103530172.1,5646558,5347491,107433264.3,99859132,99654414,105596327.1,19171990,-11392961,49252399.71,25040766,16698943,89813313.09,24799898,15742019,88788143.9,3324679,-47576487,12564620.39,14781134,-11295452,61033984.01
9/1/2017,25822590,25539560,107717021.9,28401180,28183516,105225271.9,21990042,21764888,104092702.7,5685736,5386669,108159197.7,100401481,100196763,106154628.1,19175519,-11389432,49648404.31,25145409,16803586,90370314.98,24928381,15870501,89386715.27,3347749,-47553417,12992276.59,14879675,-11196912,61462962.69
9/2/2017,25822590,25539560,107717021.9,28401180,28183516,105225271.9,21990042,21764888,104092702.7,5685736,5386669,108159197.7,100401481,100196763,106154628.1,19175519,-11389432,49648404.31,25145409,16803586,90370314.98,24928381,15870501,89386715.27,3347749,-47553417,12992276.59,14879675,-11196912,61462962.69
9/3/2017,25822590,25539560,107717021.9,28401180,28183516,105225271.9,21990042,21764888,104092702.7,5685736,5386669,108159197.7,100401481,100196763,106154628.1,19175519,-11389432,49648404.31,25145409,16803586,90370314.98,24928381,15870501,89386715.27,3347749,-47553417,12992276.59,14879675,-11196912,61462962.69
9/4/2017,25822590,25539560,107717021.9,28401180,28183516,105225271.9,21990042,21764888,104092702.7,5685736,5386669,108159197.7,100401481,100196763,106154628.1,19175519,-11389432,49648404.31,25145409,16803586,90370314.98,24928381,15870501,89386715.27,3347749,-47553417,12992276.59,14879675,-11196912,61462962.69
9/5/2017,26006650,25723620,106855512.8,28520374,28302710,104443183.6,22196160,21971006,103258791.7,5925208,5626141,107366877.4,100022656,99817939,105924384.9,19312252,-11252698,49008546.39,25253575,16911752,89658614.95,25036078,15978198,88660418.96,3488834,-47412332,12525505.29,14542406,-11534181,60818597.4
9/6/2017,26080899,25797869,107215631.6,28685608,28467944,104793712.5,22281642,22056488,103605820.9,5871351,5572284,107869917.3,100282702,100077984,106166266,19367384,-11197567,49276011.64,25377474,17035651,90003394.18,25201538,16143658,89051867.57,3457095,-47444070,12821850.83,14544840,-11531746,61122036.05
9/7/2017,26198358,25915328,107240006.1,28777707,28560043,104726176.7,22319558,22094404,103439276.3,5890255,5591188,107727612.7,100462543,100257825,106320930.3,19454630,-11110320,49294116.22,25475013,17133190,89954874.52,25265686,16207806,88970410.7,3468257,-47432909,12737999.05,14383453,-11693133,61036972.07
9/8/2017,26412903,26129873,107199387.5,28910810,28693147,104838745.1,22462494,22237340,103508705.3,6191624,5892557,107277053,100320994,100116276,106108088.1,19614007,-10950944,49263961.01,25601902,17260079,90040603.92,25423357,16365477,89031511.23,3645800,-47255366,12472565.51,14640900,-11435686,61039124.04
9/9/2017,26412903,26129873,107199387.5,28910810,28693147,104838745.1,22462494,22237340,103508705.3,6191624,5892557,107277053,100320994,100116276,106108088.1,19614007,-10950944,49263961.01,25601902,17260079,90040603.92,25423357,16365477,89031511.23,3645800,-47255366,12472565.51,14640900,-11435686,61039124.04
9/10/2017,26412903,26129873,107199387.5,28910810,28693147,104838745.1,22462494,22237340,103508705.3,6191624,5892557,107277053,100320994,100116276,106108088.1,19614007,-10950944,49263961.01,25601902,17260079,90040603.92,25423357,16365477,89031511.23,3645800,-47255366,12472565.51,14640900,-11435686,61039124.04
9/11/2017,26697174,26414145,108262449.2,29221036,29003373,105939991.1,22671969,22446815,104570086.1,6702533,6403466,108264925,101020154,100815437,106860664.8,19825124,-10739827,50053527.34,25825983,17484160,91076029.91,25743013,16685133,90036601.29,3946786,-46954379,13054496.71,14987423,-11089163,61882180.3
9/12/2017,26599440,26316410,108938721.4,29217410,28999746,106685607.7,22654069,22428915,105298547.6,6738022,6438955,109085557.6,100950559,100745841,106864156.7,19752509,-10812442,50555808.36,25828450,17486626,91736623.86,25687045,16629165,90755921.08,3967680,-46933485,13537933.83,15222790,-10853796,62448530.22
9/13/2017,26874561,26591531,109520109.7,29241950,29024286,106952998.3,22821465,22596311,105797887.9,7131391,6832324,109731627.5,100980489,100775772,106959206.3,19956826,-10608125,50987599.83,25845282,17503459,92017072.66,25823638,16765758,91034711.87,4199415,-46701751,13918529.49,15227475,-10849112,62783937.52
9/14/2017,27136428,26853398,109217063.6,29416159,29198495,106760992.3,23036860,22811706,105539073.2,7566458,7267391,109532073,101212987,101008269,107170703.4,20151333,-10413617,50762509.1,26027801,17685978,91831060.9,25977077,16919197,90841336.5,4455710,-46445455,13800966.9,15131736,-10944850,62648272.11
9/15/2017,27183330,26900300,109690275.3,29477204,29259540,107185957.1,23021045,22795891,105996095.1,7682803,7383737,110145666.2,101619707,101414989,107647520.7,20186149,-10378802,51113951.6,26128918,17787095,92210398.75,25993510,16935630,91236798.51,4524249,-46376916,14162435.36,15282023,-10794563,63028281.45
9/16/2017,27183330,26900300,109690275.3,29477204,29259540,107185957.1,23021045,22795891,105996095.1,7682803,7383737,110145666.2,101619707,101414989,107647520.7,20186149,-10378802,51113951.6,26128918,17787095,92210398.75,25993510,16935630,91236798.51,4524249,-46376916,14162435.36,15282023,-10794563,63028281.45
9/17/2017,27183330,26900300,109690275.3,29477204,29259540,107185957.1,23021045,22795891,105996095.1,7682803,7383737,110145666.2,101619707,101414989,107647520.7,20186149,-10378802,51113951.6,26128918,17787095,92210398.75,25993510,16935630,91236798.51,4524249,-46376916,14162435.36,15282023,-10794563,63028281.45
9/18/2017,27638108,27355078,110507700.4,29731664,29514000,107698078.5,23289218,23064064,106671727.7,8167050,7867983,110825557.3,101274583,101069865,107431312.2,20523942,-10041009,51721084.11,26332787,17990964,92719130.93,26246397,17188517,91730619.43,4809509,-46091656,14562951.1,15402189,-10674397,63569967.84
9/19/2017,27736689,27453660,110574702.7,29697433,29479770,107572892.9,23329860,23104706,106672146.4,8494933,8195866,111158258.2,100974159,100769442,107185854.3,20597199,-9967751,51770872.19,26358623,18016799,92589916.58,26278700,17220820,91679673.83,5002662,-45898504,14758935.93,15413871,-10662715,63555881.06
9/20/2017,27834917,27551887,111067035.2,29732077,29514413,107901151.8,23419644,23194490,107127089.9,8849347,8550280,111582278.3,101130690,100925972,107298102.5,20670143,-9894808,52136529,26382374,18040551,92916763.08,26258320,17200441,92036140.75,5211442,-45689724,15008730.63,15618975,-10457611,63862180.9
9/21/2017,27853262,27570232,110771661.8,29663651,29445988,107508117,23462025,23236871,106862627.4,8965214,8666147,111137961.2,100703038,100498320,106780221.8,20683777,-9881174,51917165.54,26351090,18009267,92543151.82,26190735,17132855,91613242.12,5279708,-45621458,14746979.76,15703761,-10372826,63604957.54
9/22/2017,27963779,27680749,111379743.8,29648196,29430532,107876658,23538978,23313824,107408886.5,8921363,8622296,111893242.9,100763043,100558325,106810686,20765861,-9799090,52368815.53,26345025,18003201,92882154.9,26157891,17100011,91985973.82,5253866,-45647299,15191925.52,15839236,-10237350,64013692.1
9/23/2017,27963779,27680749,111379743.8,29648196,29430532,107876658,23538978,23313824,107408886.5,8921363,8622296,111893242.9,100763043,100558325,106810686,20765861,-9799090,52368815.53,26345025,18003201,92882154.9,26157891,17100011,91985973.82,5253866,-45647299,15191925.52,15839236,-10237350,64013692.1
9/24/2017,27963779,27680749,111379743.8,29648196,29430532,107876658,23538978,23313824,107408886.5,8921363,8622296,111893242.9,100763043,100558325,106810686,20765861,-9799090,52368815.53,26345025,18003201,92882154.9,26157891,17100011,91985973.82,5253866,-45647299,15191925.52,15839236,-10237350,64013692.1
9/25/2017,27969894,27686864,111944020,29680364,29462700,108320576.5,23500873,23275719,107833976.2,8778659,8479592,112443529.2,101679957,101475240,107478355.7,20770391,-9794560,52787904.37,26416186,18074363,93302862.1,26154916,17097036,92519560.86,5169791,-45731374,15516112.43,15946362,-10130224,64232613.44
9/26/2017,28048159,27765129,112403477.9,29748616,29530952,108654176.8,23615485,23390331,108365441.5,8822723,8523657,112972410.9,101525997,101321280,107316820.6,20828521,-9736430,53129157.7,26431835,18090012,93596457.93,26254334,17196455,92885129.74,5195748,-45705417,15827675.72,16171562,-9905024,64582305.05
9/27/2017,28301493,28018463,114210624.7,29847630,29629966,109875777.6,23815234,23590080,110021816.6,9248349,8949282,115000013.6,101948730,101744013,107830421,21016619,-9548332,54471353.71,26532299,18190476,94769485.13,26315466,17257587,94126590.91,5446467,-45454698,17022139.56,16597507,-9479079,65849844.18
